birthdate,name
1992-06-20,Bella
2002-10-29,Luna
2017-08-13,Charlie
2016-09-29,Lucy
1984-02-27,Cooper
1975-01-25,Max
2007-10-03,Bailey
1993-01-16,Daisy
2020-08-05,Sadie
2017-08-03,Lola
2015-06-21,Buddy
2001-03-10,Molly
2008-03-27,Stella
2009-11-22,Tucker
1973-01-02,Bear
2015-10-04,Zoey
1993-06-25,Duke
1991-09-28,Harley
2001-09-25,Maggie
1980-08-18,Jax
1993-02-01,Bentley
1990-07-21,Milo
1992-11-21,Oliver
2013-03-09,Riley
1978-07-27,Rocky
1998-02-05,Penny
1995-03-15,Sophie
2003-07-11,Chloe
2006-03-22,Jack
2002-01-30,Lily
1983-02-13,Nala
2017-09-04,Piper
1974-03-01,Zeus
2000-04-21,Ellie
2007-02-06,Winston
2008-12-11,Toby
2011-01-22,Loki
1992-06-12,Murphy
1985-01-15,Roxy
1977-06-20,Coco
2004-09-30,Rosie
2017-03-11,Teddy
2001-02-14,Ruby
1993-02-20,Gracie
1987-02-03,Leo
2005-03-07,Finn
1975-10-19,Scout
1983-04-25,Dexter
1997-10-20,Ollie
1993-01-24,Koda
1993-04-19,Diesel
2012-10-14,Moose
2016-11-24,Mia
1978-02-18,Marley
2001-06-30,Gus
2015-10-14,Hank
2006-09-02,Willow
