Date,Treatment
2022-01-15,Vaccination Checkup
2022-03-27,Teeth Cleaning
2022-05-10,Orthopedic X-rays
2022-07-18,Blood Tests
2022-09-05,Abdominal Ultrasound
2022-11-11,Heartworm Test
2023-01-02,Dental Checkup
2023-03-14,Eye Examination
2023-05-26,Fecal Analysis
2023-08-01,Skin Biopsy
2023-10-09,Spaying/Neutering
2023-12-20,Microchipping
2024-02-01,Allergy Testing
2024-04-12,Joint Aspiration
2024-06-25,Ear Examination
2024-08-08,Blood Pressure Measurement
2024-10-19,Cancer Screening
2024-12-03,Glaucoma Testing
2022-02-18,Flea and Tick Prevention
2022-04-30,Deworming
2022-06-15,CT Scan
2022-08-23,MRI
2022-10-05,EKG
2022-12-11,Nutritional Counseling
2023-02-22,Joint Aspiration
2023-04-06,Cancer Screening
2023-06-18,Glaucoma Testing
2023-08-30,Blood Clotting Profile
2023-11-06,Orthopedic Examination
2024-01-19,Fecal Analysis
2024-03-02,Heartworm Test
2024-05-15,Skin Biopsy
2024-07-27,Spaying/Neutering
2024-10-02,Orthopedic Examination
2024-12-14,Dental Checkup
2022-01-27,Ear Examination
2022-04-09,Blood Pressure Measurement
2022-06-22,Allergy Testing
2022-08-05,CT Scan
2022-10-17,MRI
2022-12-28,EKG
2023-03-10,Nutritional Counseling
2023-05-23,Joint Aspiration
2023-08-01,Cancer Screening
2023-10-13,Glaucoma Testing
2023-12-24,Blood Clotting Profile
2024-02-03,Orthopedic Examination
2024-04-16,Fecal Analysis
2024-06-29,Heartworm Test
2024-09-11,Skin Biopsy
2024-11-23,Spaying/Neutering
2022-02-21,Microchipping
2022-05-06,Allergy Testing
2022-07-18,Joint Aspiration
2022-09-29,Ear Examination
2022-12-11,Blood Pressure Measurement
2023-02-01,CT Scan
2023-04-15,MRI
2023-06-27,EKG
2023-09-10,Nutritional Counseling
2023-11-22,Joint Aspiration
2024-02-06,Cancer Screening
2024-05-19,Glaucoma Testing
2024-07-31,Blood Clotting Profile
2024-10-11,Orthopedic Examination
2022-02-27,Dental Checkup
2022-05-11,Fecal Analysis
2022-07-24,Heartworm Test
2022-10-05,Skin Biopsy
2022-12-16,Spaying/Neutering
2023-02-26,Ear Examination
2023-05-09,Blood Pressure Measurement
2023-07-22,Allergy Testing
2023-10-03,CT Scan
2023-12-15,MRI
2024-02-26,EKG
2024-05-09,Nutritional Counseling
2024-07-22,Joint Aspiration
2024-10-03,Cancer Screening
2024-12-15,Glaucoma Testing
2022-04-02,Blood Clotting Profile
2022-06-15,Orthopedic Examination
2022-08-28,Dental Checkup
2022-11-09,Fecal Analysis
2023-01-21,Heartworm Test
2023-04-05,Skin Biopsy
2023-06-17,Spaying/Neutering
2023-08-30,Ear Examination
2023-11-11,Blood Pressure Measurement
2024-02-03,Allergy Testing
2024-04-18,CT Scan
2024-07-01,MRI
2024-09-14,EKG
2024-11-26,Nutritional Counseling
2022-01-30,Joint Aspiration
2022-04-14,Cancer Screening
2022-06-26,Glaucoma Testing
2022-09-08,Blood Clotting Profile
2022-11-21,Orthopedic Examination
2023-02-02,Dental Checkup
2023-04-16,Fecal Analysis
2023-06-29,Heartworm Test
2023-09-10,Skin Biopsy
2023-11-23,Spaying/Neutering
2024-02-05,Ear Examination
2024-04-18,Blood Pressure Measurement
2024-06-29,Allergy Testing
2024-09-11,CT Scan
2024-11-23,MRI
